BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/8/2018,1,Person,Assault,ASSLT-NONAGG,NORTH BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/19/2018,1,Person,Sex Offense,RAPE-STRONGARM,NORTH BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/13/2018,1,Society,Trespass,TRESPASS,NORTH BEACON HILL,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/14/2018,1,Society,Threats,THREATS-BOMB,GENESEE,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/29/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BRIGHTON/DUNLAP,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/17/2018,1,Person,Assault,ASSLT-AGG-WEAPON,RAINIER BEACH,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/7/2018,1,Person,Assault,ASSLT-AGG-DV-WEAPON,RAINIER BEACH,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/17/2018,1,Person,Assault,ASSLT-NONAGG,RAINIER BEACH,S
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/18/2018,1,Society,Harassment,HARASSMENT,RAINIER BEACH,S
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/18/2018,1,Person,Assault,ASSLT-NONAGG,GEORGETOWN,S
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/1/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,NORTH BEACON HILL,S
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/24/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,COMMERCIAL HARBOR ISLAND,SW
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/6/2018,1,Society,Threats,THREATS-OTHER,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/5/2018,1,Person,Assault,ASSLT-NONAGG,SOUTH PARK,SW
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/30/2018,1,Person,Assault,ASSLT-NONAGG,ALKI,SW
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/23/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,MORGAN,SW
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/4/2018,1,Society,Threats,THREATS-KILL,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/15/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,ALKI,SW
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/24/2018,1,Person,Assault,ASSLT-NONAGG,ALASKA JUNCTION,SW
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/30/2018,1,Society,Threats,THREATS-OTHER,ALASKA JUNCTION,SW
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/24/2018,1,Person,Assault,ASSLT-NONAGG-DV,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/26/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW
Disability Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/25/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
Disability Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/3/2018,1,Society,Harassment,MALICIOUS HARASSMENT,SLU/CASCADE,W
Disability Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/15/2018,1,Society,Harassment,MALICIOUS HARASSMENT,DOWNTOWN COMMERCIAL,W
Disability Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/24/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/19/2018,1,Society,Threats,THREATS-OTHER,BELLTOWN,W
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/12/2018,1,Person,Assault,ASSLT-AGG-WEAPON,SLU/CASCADE,W
Ethnicity Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/26/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
Gender Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/6/2018,1,Society,Threats,THREATS-OTHER,SLU/CASCADE,W
Gender Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/1/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/14/2018,1,Person,Assault,ASSLT-AGG-WEAPON,SLU/CASCADE,W
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/20/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Homeless Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/11/2018,1,Society,Disturbance,DISTURBANCE-OTH,QUEEN ANNE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/7/2018,1,Society,Trespass,TRESPASS,BELLTOWN,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/22/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/21/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/9/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/4/2018,1,Person,Assault,ASSLT-NONAGG,CHINATOWN/INTERNATIONAL DISTRICT,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/28/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/25/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/8/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,PIONEER SQUARE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/15/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/30/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
